"Index","Value"
2017-08-06 04:00:00,98.82408715
2017-08-06 04:30:00,98.7848087
2017-08-06 05:00:00,98.793561275
2017-08-06 05:30:00,98.849876125
2017-08-06 06:00:00,98.96814925
2017-08-06 06:30:00,99.1513805
2017-08-06 07:00:00,99.310995125
2017-08-06 07:30:00,99.493576025
2017-08-06 08:00:00,99.702451275
2017-08-06 08:30:00,99.903008575
2017-08-06 09:00:00,100.11730965
2017-08-06 09:30:00,100.3397848
2017-08-06 10:00:00,100.49733715
2017-08-06 10:30:00,100.612390325
2017-08-06 11:00:00,100.6681627
2017-08-06 11:30:00,100.68780355
2017-08-06 12:00:00,100.6751438
2017-08-06 12:30:00,100.603854975
2017-08-06 13:00:00,100.498819875
2017-08-06 13:30:00,100.3626636
2017-08-06 14:00:00,100.21406175
2017-08-06 14:30:00,100.05802865
2017-08-06 15:00:00,99.91823625
2017-08-06 15:30:00,99.792006675
2017-08-06 16:00:00,99.725418225
2017-08-06 16:30:00,99.705706475
2017-08-06 17:00:00,99.7095039
2017-08-06 17:30:00,99.73818495
2017-08-06 18:00:00,99.821736675
2017-08-06 18:30:00,99.936247825
2017-08-06 19:00:00,100.071375025
2017-08-06 19:30:00,100.24433515
2017-08-06 20:00:00,100.432812225
2017-08-06 20:30:00,100.6034205
2017-08-06 21:00:00,100.757103525
2017-08-06 21:30:00,100.8707107
2017-08-06 22:00:00,100.946845975
2017-08-06 22:30:00,100.982761575
2017-08-06 23:00:00,100.97335715
2017-08-06 23:30:00,100.88770885
2017-08-07 00:00:00,100.744950825
2017-08-07 00:30:00,100.55263915
2017-08-07 01:00:00,100.32416065
2017-08-07 01:30:00,100.056437825
2017-08-07 02:00:00,99.7539921
2017-08-07 02:30:00,99.467171675
2017-08-07 03:00:00,99.2327612
2017-08-07 03:30:00,99.028695875
2017-08-07 04:00:00,98.860293075
2017-08-07 04:30:00,98.761913075
2017-08-07 05:00:00,98.711132025
2017-08-07 05:30:00,98.7129766
2017-08-07 06:00:00,98.819784025
2017-08-07 06:30:00,98.92832725
2017-08-07 07:00:00,99.115283825
2017-08-07 07:30:00,99.2958397
2017-08-07 08:00:00,99.49795305
2017-08-07 08:30:00,99.733592675
2017-08-07 09:00:00,99.962904425
2017-08-07 09:30:00,100.253087325
2017-08-07 10:00:00,100.488728275
2017-08-07 10:30:00,100.6586506
2017-08-07 11:00:00,100.767953725
2017-08-07 11:30:00,100.826944975
2017-08-07 12:00:00,100.8542891
2017-08-07 12:30:00,100.838844875
2017-08-07 13:00:00,100.7678458
2017-08-07 13:30:00,100.673844888889
2017-08-07 14:00:00,100.51198645
2017-08-07 14:30:00,100.32944075
2017-08-07 15:00:00,100.140674575
2017-08-07 15:30:00,99.95010055
2017-08-07 16:00:00,99.796996975
2017-08-07 16:30:00,99.72954225
2017-08-07 17:00:00,99.706467075
2017-08-07 17:30:00,99.707152875
2017-08-07 18:00:00,99.75311486875
2017-08-07 18:30:00,99.821049
2017-08-07 19:00:00,99.95859925
2017-08-07 19:30:00,100.118576125
2017-08-07 20:00:00,100.282963725
2017-08-07 20:30:00,100.44894295
2017-08-07 21:00:00,100.640927625
2017-08-07 21:30:00,100.8547224
2017-08-07 22:00:00,100.997010975
2017-08-07 22:30:00,101.0775603
2017-08-07 23:00:00,101.08754285
2017-08-07 23:30:00,101.04352435
2017-08-08 00:00:00,100.965255175
2017-08-08 00:30:00,100.83971265
2017-08-08 01:00:00,100.62190385
2017-08-08 01:30:00,100.3529143
2017-08-08 02:00:00,100.058824575
2017-08-08 02:30:00,99.749362575
